,ts,vs,v0
0,0.03,0.09054931053556105,0.0
1,0.05,-0.08176056286891424,0.0
2,0.08,-0.11836359750954104,0.0
3,0.1,0.20482279396001765,0.0
4,0.13,0.10087580083537473,0.0
5,0.15,0.06804328357796646,0.0
6,0.18,0.14493813285561225,0.0
7,0.2,-0.08073475625888854,0.0
8,0.23,0.04366169200319791,0.0
9,0.25,0.10800285011601936,0.0
10,0.28,0.06585994014981102,0.0
11,0.3,0.026999702752544142,0.0
12,0.33,0.0794348861165981,0.0
13,0.35,0.053066590573743924,0.0
14,0.38,0.01811353170568182,0.0
15,0.4,0.058912145123997395,0.0
16,0.43,0.04283015109052699,0.0
17,0.45,0.011085749399497939,0.0
18,0.48,0.04333694604292724,0.0
19,0.5,0.03455456330294816,0.0
20,0.53,0.010783438660882383,0.0
21,0.55,0.03284737688778985,0.0
22,0.58,0.026786210340123538,0.0
23,0.6,0.0,0.0
24,0.63,0.023388484890221828,0.0
25,0.65,0.020683814473974993,0.0
26,0.68,0.0,0.0
27,0.7,0.018715290859441798,0.0
28,0.73,0.016802244412132957,0.0
29,0.75,0.010400176191232204,0.0
30,0.78,0.013603091304840016,0.0
31,0.8,0.012763795882635234,0.0
32,0.83,0.010172123929825803,0.0
33,0.85,0.012153573680366214,0.0
34,0.88,0.010703784010128073,0.0
35,0.9,0.010355178572630757,0.0
36,0.93,0.0,0.0
37,0.95,0.0,0.0
38,0.98,0.0,0.0
39,1.0,0.0,0.0
40,1.03,0.0,0.0
41,1.05,0.01001955427772487,0.0
42,1.08,0.0,0.0
43,1.1,0.0,0.0
44,1.13,0.0,0.0
45,1.15,0.0,0.0
46,1.18,0.0,0.0
47,1.2,0.01061248332001138,0.0
48,1.23,0.0,0.0
49,1.25,0.0,0.0
50,1.28,0.03791828867449361,0.0
51,1.3,0.06650866297592317,0.0
52,1.33,0.08605902195866448,0.0
53,1.35,0.09067572057742493,0.0
54,1.38,0.0908057241388406,0.0
55,1.4,0.10019084825654331,0.0
56,1.43,0.12068049414254237,0.0
57,1.45,0.14307303931436807,0.0
58,1.48,0.15758227852911705,0.0
59,1.5,0.1638967382374051,0.0
60,1.53,0.17045376188722478,0.0
61,1.55,0.1835327320989015,0.0
62,1.58,0.20196495301316902,0.0
63,1.6,0.21950623129424657,0.0
64,1.63,0.23169949954398575,0.0
65,1.65,0.24036915366553818,0.0
66,1.68,0.2500876717926257,0.0
