,ts,vs,v0
0,0.05,-0.08584056750108321,4.864821315439309
1,0.1,-0.14411505858787385,4.864821315439309
2,0.15,0.05945164482698214,4.864821315439309
3,0.2,0.11956389352103909,4.864821315439309
4,0.25,0.13915035569955905,4.864821315439309
5,0.3,0.1614860203268806,4.864821315439309
6,0.35,0.20010553081411725,4.864821315439309
7,0.4,0.23328636683385803,4.864821315439309
8,0.45,0.2641690943707927,4.864821315439309
9,0.5,0.29827075749297277,4.864821315439309
10,0.55,0.3316938420578794,4.864821315439309
11,0.6,0.36389318309951774,4.864821315439309
12,0.65,0.3957244697019604,4.864821315439309
13,0.7,0.4291234591546067,4.864821315439309
14,0.75,0.4611935148047851,4.864821315439309
15,0.8,0.49359774323980105,4.864821315439309
16,0.85,0.5257170318828613,4.864821315439309
17,0.9,0.5569019047381365,4.864821315439309
18,0.95,0.5885621625531392,4.864821315439309
19,1.0,0.623399234469568,4.864821315439309
20,1.05,0.6570778367622464,4.864821315439309
21,1.1,0.6858008538565262,4.864821315439309
22,1.15,0.7174328622621808,4.864821315439309
23,1.2,0.7523542029652904,4.864821315439309
24,1.25,0.7829818586253828,4.864821315439309
25,1.3,0.8181075803473264,4.864821315439309
26,1.35,0.8465484666155276,4.864821315439309
27,1.4,0.8797948585405576,4.864821315439309
28,1.45,0.9149208377368535,4.864821315439309
29,1.5,0.9443695774912696,4.864821315439309
30,1.55,0.9778667000370952,4.864821315439309
31,1.6,1.01145008339413,4.864821315439309
32,1.65,1.0397253440880858,4.864821315439309
33,1.7,1.0750943232255512,4.864821315439309
34,1.75,1.1045247302885257,4.864821315439309
35,1.8,1.1396791814580653,4.864821315439309
36,1.85,1.1734586739940849,4.864821315439309
37,1.9,1.2007337029024046,4.864821315439309
38,1.95,1.2333692169577228,4.864821315439309
39,2.0,1.268746032624591,4.864821315439309
40,2.05,1.29773308535888,4.864821315439309
41,2.1,1.328794222513636,4.864821315439309
42,2.15,1.3641508253444905,4.864821315439309
43,2.2,1.3912135833650656,4.864821315439309
44,2.25,1.4234718674168159,4.864821315439309
45,2.3,1.4598918973831345,4.864821315439309
46,2.35,1.4908908077412364,4.864821315439309
47,2.4,1.5185711697314364,4.864821315439309
48,2.45,1.5525681127619217,4.864821315439309
49,2.5,1.587301139843418,4.864821315439309
50,2.55,1.6162201334440587,4.864821315439309
51,2.6,1.648393264653748,4.864821315439309
52,2.65,1.6827672995271874,4.864821315439309
53,2.7,1.7138923590498603,4.864821315439309
54,2.75,1.7431577371406486,4.864821315439309
55,2.8,1.7730317916148823,4.864821315439309
56,2.85,1.808810528711632,4.864821315439309
57,2.9,1.8350648227385116,4.864821315439309
58,2.95,1.8650988356785823,4.864821315439309
59,3.0,1.9062710026567864,4.864821315439309
60,3.05,1.9326471255981021,4.864821315439309
61,3.1,1.9619945126691147,4.864821315439309
62,3.15,1.9977123223698445,4.864821315439309
63,3.2,2.0250510611207084,4.864821315439309
64,3.25,2.0582779601463757,4.864821315439309
65,3.3,2.0946614649006206,4.864821315439309
66,3.35,2.1198821338292153,4.864821315439309
67,3.4,2.1507930754910443,4.864821315439309
68,3.45,2.1880239920994558,4.864821315439309
69,3.5,2.216890816072602,4.864821315439309
70,3.55,2.2462565726306005,4.864821315439309
71,3.6,2.2830405454003335,4.864821315439309
72,3.65,2.311089379600296,4.864821315439309
73,3.7,2.341801049705124,4.864821315439309
74,3.75,2.376537976161114,4.864821315439309
75,3.8,2.403012640167043,4.864821315439309
76,3.85,2.4383631034656283,4.864821315439309
77,3.9,2.4705238319091234,4.864821315439309
78,3.95,2.4980469695770577,4.864821315439309
79,4.0,2.5334265764729107,4.864821315439309
80,4.05,2.5639019268130103,4.864821315439309
81,4.1,2.591729156316262,4.864821315439309
82,4.15,2.6246969039952224,4.864821315439309
83,4.2,2.655593066529712,4.864821315439309
84,4.25,2.684779606573526,4.864821315439309
85,4.3,2.7211823579846794,4.864821315439309
86,4.35,2.748606398527813,4.864821315439309
87,4.4,2.780098109879812,4.864821315439309
88,4.45,2.811193191605974,4.864821315439309
89,4.5,2.841227134221476,4.864821315439309
90,4.55,2.8712680961624817,4.864821315439309
91,4.6,2.9017415131643056,4.864821315439309
92,4.65,2.933519748306799,4.864821315439309
93,4.7,2.967182242667216,4.864821315439309
94,4.75,2.9964952183726585,4.864821315439309
95,4.8,3.0266950874814746,4.864821315439309
96,4.85,3.057033340003713,4.864821315439309
97,4.9,3.0883479791445883,4.864821315439309
98,4.95,3.118761212750877,4.864821315439309
99,5.0,3.1488200692585324,4.864821315439309
100,5.05,3.1787947247490758,4.864821315439309
101,5.1,3.209855181143003,4.864821315439309
102,5.15,3.237818582027618,4.864821315439309
103,5.2,3.2680119668444902,4.864821315439309
104,5.25,3.3024899297059127,4.864821315439309
105,5.3,3.327204697360751,4.864821315439309
106,5.35,3.357200767379688,4.864821315439309
107,5.4,3.394669725075788,4.864821315439309
108,5.45,3.4208066121322007,4.864821315439309
109,5.5,3.450152938661741,4.864821315439309
110,5.55,3.4854184175267653,4.864821315439309
111,5.6,3.510862071250185,4.864821315439309
112,5.65,3.5351880806993585,4.864821315439309
113,5.7,3.5683955912550775,4.864821315439309
114,5.75,3.591199820793562,4.864821315439309
115,5.8,3.6232639918162723,4.864821315439309
116,5.85,3.654545126837855,4.864821315439309
117,5.9,3.678979200475832,4.864821315439309
118,5.95,3.7076021185261743,4.864821315439309
119,6.0,3.7400694344701333,4.864821315439309
120,6.05,3.7629676153191967,4.864821315439309
121,6.1,3.7931628097482717,4.864821315439309
